Sample_Number,Species,Region,Island,Stage,Individual_ID,Clutch_Completion,Date_Egg,Culmen_Length_mm_,Culmen_Depth_mm_,Flipper_Length_mm_,Body_Mass_g_,Sex,Delta_15_N_o/oo_,Delta_13_C_o/oo_,Comments
31,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N21A1,Yes,2007-11-09,39.5,16.7,178,3250,FEMALE,9.69756,-25.11223,NA
32,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N21A2,Yes,2007-11-09,37.2,18.1,178,3900,MALE,9.72764,-25.0102,NA
33,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N22A1,Yes,2007-11-09,39.5,17.8,188,3300,FEMALE,9.66523,-25.0602,NA
34,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N22A2,Yes,2007-11-09,40.9,18.9,184,3900,MALE,8.79665,-25.14591,NA
35,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N23A1,Yes,2007-11-16,36.4,17,195,3325,FEMALE,9.17847,-25.23061,NA
36,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N23A2,Yes,2007-11-16,39.2,21.1,196,4150,MALE,9.15308,-25.03469,NA
37,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N24A1,Yes,2007-11-16,38.8,20,190,3950,MALE,9.18985,-25.12255,NA
38,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N24A2,Yes,2007-11-16,42.2,18.5,180,3550,FEMALE,8.04787,-25.49523,NA
39,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N25A1,No,2007-11-13,37.6,19.3,181,3300,FEMALE,9.41131,-25.04169,Nest never observed with full clutch.
40,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N25A2,No,2007-11-13,39.8,19.1,184,4650,MALE,8.733381696969698,-25.686291540785497,Nest never observed with full clutch. Not enough blood for isotopes.
41,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N26A1,Yes,2007-11-16,36.5,18,182,3150,FEMALE,9.68933,-24.4228,NA
42,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N26A2,Yes,2007-11-16,40.8,18.4,195,3900,MALE,8.733381696969698,-25.686291540785497,Not enough blood for isotopes.
43,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N27A1,Yes,2007-11-19,36,18.5,186,3100,FEMALE,9.50772,-25.03492,NA
44,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N27A2,Yes,2007-11-19,44.1,19.7,196,4400,MALE,9.2372,-24.52698,NA
45,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N28A1,Yes,2007-11-16,37,16.9,185,3000,FEMALE,9.36392,-25.01745,NA
46,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N28A2,Yes,2007-11-16,39.6,18.8,190,4600,MALE,9.49106,-24.10255,NA
47,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N29A1,Yes,2007-11-13,41.1,19,182,3425,MALE,8.733381696969698,-25.686291540785497,Not enough blood for isotopes.
48,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N29A2,Yes,2007-11-13,37.5,18.9,179,2975,Unknown,8.733381696969698,-25.686291540785497,Sexing primers did not amplify. Not enough blood for isotopes.
49,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N30A1,Yes,2007-11-13,36,17.9,190,3450,FEMALE,9.51784,-25.07683,NA
50,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N30A2,Yes,2007-11-13,42.3,21.2,191,4150,MALE,8.87988,-25.18543,NA
51,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N21A1,Yes,2008-11-06,39.6,17.7,186,3500,FEMALE,8.46616,-26.12989,NA
52,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N21A2,Yes,2008-11-06,40.1,18.9,188,4300,MALE,8.51362,-26.55602,NA
53,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N22A1,Yes,2008-11-09,35,17.9,190,3450,FEMALE,8.19539,-26.17213,NA
54,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N22A2,Yes,2008-11-09,42,19.5,200,4050,MALE,8.48095,-26.3146,NA
55,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N23A1,Yes,2008-11-09,34.5,18.1,187,2900,FEMALE,8.41837,-26.54718,NA
56,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N23A2,Yes,2008-11-09,41.4,18.6,191,3700,MALE,8.35396,-26.27853,NA
57,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N24A1,Yes,2008-11-15,39,17.5,186,3550,FEMALE,8.57199,-26.07188,NA
58,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N24A2,Yes,2008-11-15,40.6,18.8,193,3800,MALE,8.56674,-25.98843,NA
59,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N25A1,Yes,2008-11-15,36.5,16.6,181,2850,FEMALE,9.07878,-25.88156,NA
60,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N25A2,Yes,2008-11-15,37.6,19.1,194,3750,MALE,9.108,-25.89677,NA
61,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N27A1,Yes,2008-11-13,35.7,16.9,185,3150,FEMALE,8.96472,-26.40943,NA
62,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N27A2,Yes,2008-11-13,41.3,21.1,195,4400,MALE,8.74802,-26.37809,NA
63,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N28A1,Yes,2008-11-13,37.6,17,185,3600,FEMALE,8.58063,-26.21569,NA
64,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N28A2,Yes,2008-11-13,41.1,18.2,192,4050,MALE,8.62264,-26.60023,NA
65,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N29A1,Yes,2008-11-13,36.4,17.1,184,2850,FEMALE,8.62623,-26.1165,NA
66,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N29A2,Yes,2008-11-13,41.6,18,192,3950,MALE,8.85562,-26.09294,NA
67,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N30A1,Yes,2008-11-06,35.5,16.2,195,3350,FEMALE,8.56192,-25.95541,NA
68,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N30A2,Yes,2008-11-06,41.1,19.1,188,4100,MALE,8.71078,-25.81012,NA
69,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N32A1,No,2008-11-11,35.9,16.6,190,3050,FEMALE,8.47781,-26.07821,Nest never observed with full clutch.
70,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N32A2,No,2008-11-11,41.8,19.4,198,4450,MALE,8.86853,-26.06209,Nest never observed with full clutch.
71,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N34A1,Yes,2008-11-14,33.5,19,190,3600,FEMALE,7.88863,-26.63085,NA
72,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N34A2,Yes,2008-11-14,39.7,18.4,190,3900,MALE,9.29808,-25.23453,NA
73,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N35A1,Yes,2008-11-11,39.6,17.2,196,3550,FEMALE,8.33524,-26.55351,NA
74,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N35A2,Yes,2008-11-11,45.8,18.9,197,4150,MALE,8.18658,-26.45978,NA
75,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N36A1,Yes,2008-11-08,35.5,17.5,190,3700,FEMALE,8.70642,-26.15003,NA
76,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N36A2,Yes,2008-11-08,42.8,18.5,195,4250,MALE,8.2993,-26.38986,NA
77,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N37A1,Yes,2008-11-06,40.9,16.8,191,3700,FEMALE,8.47257,-26.02002,NA
78,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N37A2,Yes,2008-11-06,37.2,19.4,184,3900,MALE,8.3554,-26.44787,NA
79,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N38A1,Yes,2008-11-09,36.2,16.1,187,3550,FEMALE,7.82381,-26.51382,NA
80,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N38A2,Yes,2008-11-09,42.1,19.1,195,4000,MALE,9.05736,-25.81513,NA
81,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N39A1,Yes,2008-11-02,34.6,17.2,189,3200,FEMALE,7.69778,-26.5387,NA
82,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N39A2,Yes,2008-11-02,429,17.6,196,4700,MALE,8.63259,-26.23027,NA
83,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N40A1,Yes,2008-11-07,36.7,18.8,187,3800,FEMALE,7.88494,-26.24837,NA
84,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N40A2,Yes,2008-11-07,35.1,19.4,193,4200,MALE,8.90002,-26.46254,NA
85,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N41A1,Yes,2008-11-17,37.3,17.8,191,3350,FEMALE,8.32718,-26.38396,NA
86,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N41A2,Yes,2008-11-17,41.3,20.3,194,3550,MALE,9.14863,-26.09635,NA
87,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N42A1,Yes,2008-11-08,36.3,19.5,190,3800,MALE,8.57087,-26.22227,NA
88,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N42A2,Yes,2008-11-08,36.9,18.6,189,3500,FEMALE,8.59147,-26.08165,NA
89,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N44A1,Yes,2008-11-08,38.3,19.2,189,3950,MALE,9.07826,-26.12417,NA
90,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N44A2,Yes,2008-11-08,38.9,18.8,190,3600,FEMALE,8.36936,-26.11199,NA
91,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N45A1,Yes,2008-11-14,35.7,18,202,3550,FEMALE,8.46531,-26.05621,NA
92,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N45A2,Yes,2008-11-14,41.1,18.1,205,4300,MALE,8.77018,-25.83352,NA
93,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N46A1,Yes,2008-11-05,34,17.1,185,3400,FEMALE,8.01485,-26.695430000000002,NA
94,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N46A2,Yes,2008-11-05,39.6,18.1,186,4450,MALE,8.49915,-26.42406,NA
95,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N48A1,Yes,2008-11-17,36.2,17.3,187,3300,FEMALE,8.90723,-26.30037,NA
96,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N48A2,Yes,2008-11-17,40.8,18.9,208,4300,MALE,8.48204,-26.57941,NA
97,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N49A1,Yes,2008-11-08,38.1,18.6,190,3700,FEMALE,8.10277,-26.50086,NA
98,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N49A2,Yes,2008-11-08,40.3,18.5,196,4350,MALE,8.3945900000000009,-26.01152,NA
99,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N50A1,Yes,2008-11-10,33.1,16.1,178,2900,FEMALE,9.04218,-26.15775,NA
100,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N50A2,Yes,2008-11-10,43.2,18.5,192,4100,MALE,8.97025,-26.03679,NA
101,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N47A1,Yes,2009-11-09,35,17.9,192,3725,FEMALE,8.84451,-26.28055,NA
102,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N47A2,Yes,2009-11-09,41,20,203,4725,MALE,9.01079,-26.38085,NA
103,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N49A1,Yes,2009-11-15,37.7,16,183,3075,FEMALE,9.2151,-26.2253,NA
104,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N49A2,Yes,2009-11-15,37.8,20,190,4250,MALE,9.51929,-25.69199,NA
105,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N51A1,Yes,2009-11-15,37.9,18.6,193,2925,FEMALE,9.02642,-25.86482,NA
106,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N51A2,Yes,2009-11-15,39.7,18.9,184,3550,MALE,8.85699,-25.80208,NA
107,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N53A1,Yes,2009-11-15,38.6,17.2,199,3750,FEMALE,8.77322,-26.48973,NA
108,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N53A2,Yes,2009-11-15,38.2,20,190,3900,MALE,9.59245,-25.70711,NA
109,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N55A1,Yes,2009-11-20,38.1,17,181,3175,FEMALE,9.79532,-25.27385,NA
110,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N55A2,Yes,2009-11-20,43.2,19,197,4775,MALE,9.31735,-25.45171,NA
111,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N58A1,Yes,2009-11-12,38.1,16.5,198,3825,FEMALE,8.43951,-26.57563,NA
112,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N58A2,Yes,2009-11-12,45.6,20.3,191,4600,MALE,8.65466,-26.32909,NA
113,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N60A1,Yes,2009-11-15,39.7,17.7,193,3200,FEMALE,9.02657,-26.06203,NA
114,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N60A2,Yes,2009-11-15,42.2,19.5,197,4275,MALE,8.80186,-26.41218,NA
115,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N61A1,Yes,2009-11-17,39.6,20.7,191,3900,FEMALE,8.80967,-26.78958,NA
116,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N61A2,Yes,2009-11-17,42.7,18.3,196,4075,MALE,8.91434,-26.42018,NA
117,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N63A1,Yes,2009-11-18,38.6,17,188,2900,FEMALE,9.18021,-25.77264,NA
118,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N63A2,Yes,2009-11-18,37.3,20.5,199,3775,MALE,9.49645,-26.36678,NA
119,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N64A1,Yes,2009-11-22,35.7,17,189,3350,FEMALE,8.96436,-23.90309,NA
120,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N64A2,Yes,2009-11-22,41.1,18.6,189,3325,MALE,9.32277,-26.09989,NA
121,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N66A1,No,2009-11-17,36.2,17.2,187,3150,FEMALE,9.04296,-26.19444,Nest never observed with full clutch.
122,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N66A2,No,2009-11-17,37.7,19.8,198,3500,MALE,9.11066,-26.42563,Nest never observed with full clutch.
123,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N67A1,Yes,2009-11-16,40.2,17,176,3450,FEMALE,9.30722,-25.61039,NA
124,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N67A2,Yes,2009-11-16,41.4,18.5,202,3875,MALE,9.59462,-25.42621,NA
125,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N69A1,Yes,2009-11-18,35.2,15.9,186,3050,FEMALE,8.81668,-25.95399,NA
126,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N69A2,Yes,2009-11-18,40.6,19,199,4000,MALE,9.22537,-25.60826,NA
127,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N71A1,Yes,2009-11-21,38.8,17.6,191,3275,FEMALE,8.88098,-25.89741,NA
128,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N71A2,Yes,2009-11-21,41.5,18.3,195,4300,MALE,8.52566,-26.0245,NA
129,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N72A1,Yes,2009-11-18,39,17.1,191,3050,FEMALE,9.19031,-25.73722,NA
130,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N72A2,Yes,2009-11-18,44.1,18,210,4000,MALE,9.10702,-26.01363,NA
131,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N73A1,No,2009-11-23,38.5,17.9,190,3325,FEMALE,8.9846,-25.57956,Nest never observed with full clutch.
132,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N73A2,No,2009-11-23,43.1,19.2,197,3500,MALE,8.86495,-26.1396,Nest never observed with full clutch.
133,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N76A1,Yes,2009-11-10,36.8,18.5,193,3500,FEMALE,8.98705,-25.57647,NA
134,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N76A2,Yes,2009-11-10,37.5,18.5,199,4475,MALE,8.56708,-26.49288,NA
135,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N77A1,Yes,2009-11-13,38.1,17.6,187,3425,FEMALE,8.717,-25.77951,NA
136,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N77A2,Yes,2009-11-13,41.1,17.5,190,3900,MALE,8.94365,-26.06943,NA
137,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N78A1,Yes,2009-11-16,35.6,17.5,191,3175,FEMALE,8.75984,-25.97696,NA
138,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N78A2,Yes,2009-11-16,40.2,20.1,200,3975,MALE,8.95998,-26.32601,NA
139,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N79A1,No,2009-11-16,37,16.5,185,3400,FEMALE,8.61651,-26.07021,Nest never observed with full clutch.
140,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N79A2,No,2009-11-16,39.7,17.9,193,4250,MALE,9.25769,-25.88798,Nest never observed with full clutch.
141,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N80A1,Yes,2009-11-14,40.2,17.1,193,3400,FEMALE,9.2881,-25.54976,NA
142,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N80A2,Yes,2009-11-14,40.6,17.2,187,3475,MALE,9.23408,-26.01549,NA
143,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N81A1,Yes,2009-11-16,32.1,15.5,188,3050,FEMALE,8.79787,-26.61075,NA
144,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N81A2,Yes,2009-11-16,40.7,17,190,3725,MALE,9.05674,-25.79529,NA
145,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N82A1,Yes,2009-11-16,37.3,16.8,192,3000,FEMALE,9.06829,-25.85203,NA
146,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N82A2,Yes,2009-11-16,39,18.7,185,3650,MALE,9.22033,-26.03442,NA
147,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N83A1,Yes,2009-11-13,39.2,18.6,190,4250,MALE,9.11006,-25.79549,NA
148,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N83A2,Yes,2009-11-13,36.6,18.4,184,3475,FEMALE,8.68744,-25.8306,NA
149,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N84A1,Yes,2009-11-17,36,17.8,195,3450,FEMALE,8.94332,-25.79189,NA
150,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N84A2,Yes,2009-11-17,37.8,18.1,193,3750,MALE,8.97533,-26.03495,NA
151,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N85A1,Yes,2009-11-17,36,17.1,187,3700,FEMALE,8.93465,-26.07081,NA
152,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N85A2,Yes,2009-11-17,41.5,18.5,201,4000,MALE,8.8964,-26.06967,NA
1,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N31A1,Yes,2007-11-27,46.1,13.2,211,4500,FEMALE,7.993,-25.5139,NA
2,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N31A2,Yes,2007-11-27,50,16.3,230,5700,MALE,8.14756,-25.39369,NA
3,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N32A1,Yes,2007-11-27,48.7,14.1,210,4450,FEMALE,8.14705,-25.46172,NA
4,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N32A2,Yes,2007-11-27,50,15.2,218,5700,MALE,8.2554,-25.40075,NA
5,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N33A1,Yes,2007-11-18,47.6,14.5,215,5400,MALE,8.2345,-25.54456,NA
6,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N33A2,Yes,2007-11-18,46.5,13.5,210,4550,FEMALE,7.9953,-25.32829,NA
7,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N34A1,Yes,2007-11-27,45.4,14.6,211,4800,FEMALE,8.24515,-25.46782,NA
8,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N34A2,Yes,2007-11-27,46.7,15.3,219,5200,MALE,8.22673,-25.4276,NA
9,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N35A1,Yes,2007-11-27,43.3,13.4,209,4400,FEMALE,8.13643,-25.32176,NA
10,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N35A2,Yes,2007-11-27,46.8,15.4,215,5150,MALE,8.1631,-25.38017,NA
11,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N36A1,No,2007-11-27,40.9,13.7,214,4650,FEMALE,8.19579,-25.3933,Nest never observed with full clutch.
12,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N36A2,No,2007-11-27,49,16.1,216,5550,MALE,8.10417,-25.50562,Nest never observed with full clutch.
13,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N37A1,Yes,2007-11-29,45.5,13.7,214,4650,FEMALE,7.77672,-25.4168,NA
14,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N37A2,Yes,2007-11-29,48.4,14.6,213,5850,MALE,7.8208,-25.48025,NA
15,Gentoo,Anvers,Biscoe,"Adult, 1 Egg Stage",N38A1,Yes,2007-12-03,45.8,14.6,210,4200,FEMALE,7.79958,-25.62618,NA
